city_name,date,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,co,dew,humidity,no2,o3,pm10,pm25,precipitation,pressure,so2,temperature,wind gust,wind speed
København,2021-09-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.8,,84.0,5.6,20.5,23.0,44.0,,1013.0,0.3,19.3,,2.9
København,2021-09-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,84.0,3.1,23.3,11.0,22.0,,1012.4,0.2,18.3,,4.1
København,2021-09-13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.9,,66.5,6.2,23.8,22.0,32.0,,1017.3,0.4,17.3,,2.8
København,2021-09-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.9,,62.5,8.2,26.3,17.0,28.0,,1018.8,0.3,16.1,,2.0
København,2021-09-15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,78.0,7.7,23.4,21.0,28.0,,1015.9,0.3,15.6,,4.2
København,2021-09-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.3,,83.0,8.1,18.8,14.0,28.0,,1008.4,0.6,17.7,,2.6
København,2021-09-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,82.5,3.8,15.5,11.0,23.0,,1010.7,0.4,14.7,,3.5
København,2021-09-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.9,,67.0,2.8,17.2,14.0,28.0,,1020.5,0.2,13.6,,4.4
København,2021-09-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.9,,61.0,3.9,21.3,11.0,24.0,,1022.6,0.3,11.9,,4.5
København,2021-09-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.9,,66.5,5.7,20.0,20.0,39.0,,1024.6,0.4,11.4,0.6,2.8
København,2021-09-21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.6,,74.0,9.0,14.2,21.0,40.0,,1025.1,0.5,12.2,1.7,2.6
København,2021-09-22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.2,,79.0,7.9,18.8,26.0,43.0,,1024.4,0.5,15.1,,3.1
København,2021-09-23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.9,,81.0,3.6,24.8,20.0,32.0,,1003.5,0.3,14.7,,6.7
København,2021-09-24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.9,,73.5,3.3,25.6,22.0,38.0,,1006.9,0.3,14.7,,6.0
København,2021-09-25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,71.0,3.8,22.6,21.0,38.0,,1011.9,0.3,15.7,,4.7
København,2021-09-26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.4,,78.5,11.5,17.5,21.0,36.0,,1019.6,0.3,14.9,,3.0
København,2021-09-27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,81.5,5.9,18.4,23.0,50.0,,1017.6,0.5,15.9,,4.3
København,2021-09-28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.2,,74.5,8.1,19.6,27.0,35.0,,1021.8,0.4,15.1,,2.7
København,2021-09-29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,86.0,8.8,18.9,21.0,39.0,,1018.3,0.4,13.3,,2.9
København,2021-09-30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,,80.0,3.3,23.7,10.0,26.0,,1013.4,0.3,12.1,10.4,5.4
København,2021-10-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,69.5,4.9,23.3,14.0,28.0,,1017.3,0.5,14.1,,6.7
København,2021-10-02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.2,,84.0,6.1,18.6,14.0,33.0,,1011.9,0.3,13.5,,3.7
København,2021-10-03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.1,,78.5,3.75,23.55,19.0,46.5,,1002.9,0.2,15.3,,6.0
København,2021-10-04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,89.6,7.5,15.6,21.0,34.0,,1016.2,0.5,12.6,2.3,0.6
København,2021-10-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.3,,95.0,8.6,12.9,11.0,25.0,,1014.2,1.0,11.2,1.1,0.3
København,2021-10-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,94.8,7.9,17.6,24.0,45.0,,1013.6,0.4,11.7,,
København,2021-10-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.4,,95.8,11.3,14.5,19.0,40.0,,1030.3,0.5,11.2,,
København,2021-10-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,94.7,8.6,18.9,23.0,38.0,,1036.0,0.6,10.6,,
København,2021-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.4,,85.0,9.0,21.0,35.0,59.0,,1036.1,0.5,10.5,,
København,2021-10-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.4,,80.8,5.4,25.8,22.0,49.0,,1029.7,0.5,9.0,,
København,2021-10-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.1,,80.5,5.0,20.1,19.0,32.0,,1017.2,0.5,9.8,,
København,2021-10-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,82.7,6.0,21.1,18.0,25.0,,1013.6,0.5,7.8,1.6,0.6
København,2021-10-13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.3,,79.1,8.9,15.4,19.0,33.0,,1019.5,0.6,7.7,0.5,0.1
København,2021-10-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.9,,91.0,6.5,20.5,13.0,27.0,,1015.6,0.4,10.9,,
København,2021-10-15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.8,,86.0,4.6,23.8,19.0,35.0,,1006.5,0.5,11.0,,
København,2021-10-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.9,,84.4,3.3,24.7,17.0,30.0,,1016.6,0.2,8.0,,
København,2021-10-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.9,,91.4,5.0,20.5,14.0,27.0,,1016.4,0.4,8.3,,
København,2021-10-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,91.0,9.1,15.6,15.0,30.0,,1022.7,0.6,8.3,,
København,2021-10-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.7,,93.1,7.2,9.5,17.0,39.0,,1016.0,0.4,12.2,,
København,2021-10-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.9,,94.4,4.9,16.0,15.0,39.0,,995.8,0.4,14.3,,
København,2021-10-21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,,90.7,4.4,26.8,13.0,28.0,,987.8,0.3,9.6,,
København,2021-10-22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.8,,77.6,3.1,28.3,14.0,29.0,,997.7,0.3,7.4,,
København,2021-10-23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.1,,78.0,5.3,22.7,21.0,38.0,,1020.3,0.3,7.7,,
København,2021-10-24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,80.8,4.4,23.7,16.0,27.0,,1027.3,0.6,8.4,,
København,2021-10-25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.6,,87.5,7.9,13.1,20.0,45.0,,1017.5,0.7,9.2,,
København,2021-10-26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.6,,92.7,8.3,12.9,16.0,25.0,,1015.2,0.5,10.0,,
