id,date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,population,iso_alpha_3,iso_alpha_2,iso_numeric,iso_currency,key_local,key_google_mobility,key_apple_mobility,key_jhu_csse,key_nuts,key_gadm
22e14074,2023-04-03,4782562.0,34116.0,,36947750.0,29631007.0,9266329.0,9168689.0,1649.0,109.0,34.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-04-04,4783464.0,34121.0,,36952739.0,29631118.0,9266338.0,9168696.0,1507.0,106.0,36.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-04-05,4784271.0,34124.0,,36956953.0,29631189.0,9266342.0,9168706.0,1434.0,96.0,33.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-04-06,4784999.0,34142.0,,36961194.0,29631302.0,9266354.0,9168712.0,1393.0,93.0,30.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-04-07,4785715.0,34147.0,,36965316.0,29631442.0,9266377.0,9168721.0,1300.0,79.0,27.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-04-08,4786019.0,34152.0,,36967872.0,29631472.0,9266381.0,9168723.0,1225.0,75.0,26.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-04-09,4786248.0,34156.0,,36969498.0,,,,1236.0,76.0,24.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-04-10,4786495.0,34164.0,,36971413.0,,,,1314.0,77.0,25.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-04-11,4787448.0,34169.0,,36975883.0,29631602.0,9266393.0,9168734.0,1349.0,86.0,31.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-04-12,4788238.0,34171.0,,36980286.0,29631680.0,9266399.0,9168746.0,1330.0,76.0,26.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
